"State","Hospital.name","Establishment.ID","Medicare.Provider.No.","Local.Hospital.Network.identifier","Local.Hospital.Network","Address.Line.1","Address.Line.2","asgc_ra","Remoteness.area","Number.of.available.beds","X2012.13.Peer.Group.code","Peer.Group.Name","Provided.data.for.NPHED","Provided.data.for.NHMD","Provided.data.for.NAPEDCD","Provided.data.for.ESWT","Provided.data.for.NNAPCD","IHPA.funding.designation","full_address","lat","lon","geo_address"
"NSW","Merriwa (MPS)","1180Q2080","0011720J",109,"Hunter New England","1 Mackenzie                                     St","Merriwa                                                2329",2,"Outer Regional",22.8,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Mackenzie St Merriwa 2329",-32.1423907,150.3598177,"1 mackenzie st, merriwa nsw 2329, australia"
"NSW","Milton and Ulladulla","1173P2050","0011740F",108,"Illawarra Shoalhaven","104 Princes                                       Hwy","Milton                                                 2538",1,"Inner Regional",25.8,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","104 Princes Hwy Milton 2538",-35.3172545,150.4389526,"104 princes hwy, milton nsw 2538, australia"
"NSW","Molong","1185L2140","0011750B",112,"Western NSW","130 King                                          St","Molong                                                 2866",1,"Inner Regional",10.5,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","130 King St Molong 2866",-33.087785,148.8599079,"130 king st, molong nsw 2866, australia"
"NSW","Mona Vale","1176B2140","0012470B",106,"Northern Sydney","18 Coronation                                    St","Mona Vale                                              2103",0,"Major Cities",167.6,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","18 Coronation St Mona Vale 2103",-33.6860885,151.3062357,"18 coronation st, mona vale nsw 2103, australia"
"NSW","Moree","1180J2120","0011760A",109,"Hunter New England","35 Alice                                         St","Moree                                                  2400",2,"Outer Regional",37.6,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","35 Alice St Moree 2400",-29.4708974,149.8399299,"35 alice st, moree nsw 2400, australia"
"NSW","Morisset","1480Q1010","",109,"Hunter New England","143 Dora                                          St","Morisset                                               2264",0,"Major Cities",128.6,"Ps","Psychiatric","Yes","Yes","No","No","No","Block-funded hospital","143 Dora St Morisset 2264",-33.111295,151.4801111,"143 dora st, morisset nsw 2264, australia"
"NSW","Moruya","1183N2110","0011780X",113,"Southern NSW","2 River                                         St","Moruya                                                 2537",1,"Inner Regional",54.8,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","2 River St Moruya 2537",-35.9040577,150.0709402,"moruya district hospital, 2 river st, moruya nsw 2537, australia"
"NSW","Mount Druitt","1174D2180","0012780K",104,"Western Sydney","75 Railway                                       St","Mount Druitt                                           2770",0,"Major Cities",130.9,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","75 Railway St Mount Druitt 2770",-33.7656649,150.8302401,"75 railway st, mount druitt nsw 2770, australia"
"NSW","Mudgee","1185K2160","0011790W",112,"Western NSW","139 Church                                        St","Mudgee                                                 2850",1,"Inner Regional",29.5,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","139 Church St Mudgee 2850",-32.6024739,149.5870426,"139 church st, mudgee nsw 2850, australia"
"NSW","Mullumbimby","1181H2200","0011800J",111,"Northern NSW","1 Azalea                                        St","Mullumbimby                                            2482",1,"Inner Regional",0,"S1","Public acute group C","Yes","No","No","No","Yes","Block-funded hospital","1 Azalea St Mullumbimby 2482",-28.558816,153.4905693,"1 azalea st, mullumbimby nsw 2482, australia"
"NSW","Murrumburrah - Harden (MPS)","1184N2130","0011810H",114,"Murrumbidgee","54 Swift                                         St","Harden                                                 2587",1,"Inner Regional",33,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","54 Swift St Harden 2587",-34.5557351,148.3603519,"54 swift st, harden nsw 2587, australia"
"NSW","Murrurundi","1180Q2190","0012390B",109,"Hunter New England","59 O'Connell                                     St","Murrurundi                                             2338",2,"Outer Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","59 O'Connell St Murrurundi 2338",-31.7704314,150.8348152,"59 o'connell st, murrurundi nsw 2338, australia"
"NSW","Murwillumbah","1181H2210","0012210A",111,"Northern NSW","8 Ewing                                         St","Murwillumbah                                           2484",1,"Inner Regional",62.9,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","8 Ewing St Murwillumbah 2484",-28.3236399,153.4003893,"8 ewing st, murwillumbah nsw 2484, australia"
"NSW","Muswellbrook","1180Q2090","0010800W",109,"Hunter New England","36 Brentwood                                     St","Muswellbrook                                           2333",1,"Inner Regional",54.3,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","36 Brentwood St Muswellbrook 2333",-32.2637434,150.8994306,"district hospital, 36 brentwood st, muswellbrook nsw 2333, australia"
"NSW","Narrabri","1180J2130","0011830B",109,"Hunter New England","11 Cameron                                       St","Narrabri                                               2390",2,"Outer Regional",30,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","11 Cameron St Narrabri 2390",-30.3257462,149.7768136,"hospital staff quarters, 11 cameron st, narrabri nsw 2390, australia"
"NSW","Narrandera","1184R2150","0011840A",114,"Murrumbidgee","56 Adams                                         St","Narrandera                                             2700",2,"Outer Regional",20.1,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","56 Adams St Narrandera 2700",-34.7429212,146.5476021,"56 adams st, narrandera nsw 2700, australia"
"NSW","Narromine","1185K2170","0011850Y",112,"Western NSW","128 Cathundral                                    St","Narromine                                              2821",2,"Outer Regional",24.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","128 Cathundral St Narromine 2821",-32.2430049,148.2393883,"128 cathundril st, narromine nsw 2821, australia"
"NSW","Nepean","1175D2100","0011860X",105,"Nepean Blue Mountains","256 Derby                                         St","Kingswood                                              2747",0,"Major Cities",591.2,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","256 Derby St Kingswood 2747",-33.7555049,150.6939004,"256 derby st, penrith nsw 2750, australia"
"NSW","Neringah","1176B2090","0010130W",106,"Northern Sydney","4 Neringah                                      Ave","Wahroonga South                                        2076",0,"Major Cities",15,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","4 Neringah Ave Wahroonga South 2076",-33.7176426,151.1145893,"4 neringah ave s, wahroonga nsw 2076, australia"
"NSW","Nimbin (MPS)","1181H2150","0011890L",111,"Northern NSW","87 Cullen                                        St","Nimbin                                                 2480",1,"Inner Regional",13.6,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","87 Cullen St Nimbin 2480",-28.5945611,153.2229536,"87 cullen st, nimbin nsw 2480, australia"
"NSW","Nyngan (MPS)","1185K2180","0011900F",112,"Western NSW","15 Hoskins                                       St","Nyngan                                                 2825",3,"Remote",42,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","15 Hoskins St Nyngan 2825",-31.5618416,147.202262,"15 hoskins st, nyngan nsw 2825, australia"
"NSW","Oberon (MPS)","1185L2150","0011910B",112,"Western NSW","67 North                                         St","Oberon                                                 2787",1,"Inner Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","67 North St Oberon 2787",-33.7053936,149.8530251,"67 north st, oberon nsw 2787, australia"
"NSW","Orange Health Service","1185L2160","0011920A",112,"Western NSW","1502 Forest                                        Rd","Orange                                                 2800",1,"Inner Regional",318.4,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1502 Forest Rd Orange 2800",-33.3179984,149.0900467,"bloomfield hospital, 1502 forest rd, orange nsw 2800, australia"
"NSW","Pambula","1183N2140","0011930Y",113,"Southern NSW","1 Merimbola                                     St","Pambula                                                2549",2,"Outer Regional",29.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Merimbola St Pambula 2549",-36.927775,149.8778863,"1 merimbola st, pambula nsw 2549, australia"
"NSW","Parkes","1185L2170","0011940X",112,"Western NSW","18 Coleman                                       Rd","Parkes                                                 2870",2,"Outer Regional",29.6,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","18 Coleman Rd Parkes 2870",-33.1273249,148.1702302,"18 coleman st, parkes nsw 2870, australia"
"NSW","Peak Hill","1185L2180","0011950W",112,"Western NSW","111 Newell                                        Hwy","Peak Hill                                              2869",2,"Outer Regional",4,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","111 Newell Hwy Peak Hill 2869",-32.7355762,148.1995708,"111 newell hwy, peak hill nsw 2869, australia"
"NSW","Port Kembla","1173P2060","0012480A",108,"Illawarra Shoalhaven","89 Cowper                                        St","Warrawong                                              2502",0,"Major Cities",57.3,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","89 Cowper St Warrawong 2502",-34.4863555,150.8811969,"port kembla district hosp, 89 cowper st, warrawong nsw 2502, australia"
"NSW","Port Macquarie","1182H2720","0017070A",110,"Mid North Coast","1 Wrights                                       Rd","Port Macquarie                                         2444",1,"Inner Regional",200.3,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Wrights Rd Port Macquarie 2444",-31.4520046,152.878819,"1 wrights rd, port macquarie nsw 2444, australia"
"NSW","Portland","1175L2200","0011960T",105,"Nepean Blue Mountains","20 Green                                         St","Portland                                               2847",1,"Inner Regional",26,"VS","Very small","Yes","Yes","No","No","No","Block-funded hospital","20 Green St Portland 2847",-33.3579881,149.9788021,"tabulam cottages, 20 green st, portland nsw 2847, australia"
"NSW","Prince Albert Tenterfield","1180J2140","0011970L",109,"Hunter New England","1 Naas                                          St","Tenterfield                                            2372",2,"Outer Regional",18,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Naas St Tenterfield 2372",-29.0450673,152.0134608,"1 naas st, tenterfield nsw 2372, australia"
"NSW","Prince of Wales","1172C2080","0010260H",101,"South Eastern Sydney","147 Barker                                        St","Randwick                                               2031",0,"Major Cities",493.6,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","147 Barker St Randwick 2031",-33.9215904,151.2424712,"147 barker st, randwick nsw 2031, australia"
"NSW","Queanbeyan","1183N2150","0011980K",113,"Southern NSW","16 Erin                                          St","Queanbeyan                                             2620",0,"Major Cities",56.7,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","16 Erin St Queanbeyan 2620",-35.3459371,149.2328135,"smith family homes, 16 erin st, queanbeyan nsw 2620, australia"
"NSW","Quirindi","1180J2150","0011990J",109,"Hunter New England","42 Nowland                                       St","Quirindi                                               2343",2,"Outer Regional",20,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","42 Nowland St Quirindi 2343",-31.5003206,150.6771816,"42 nowland st, quirindi nsw 2343, australia"
"NSW","RPAH Institute of Rheumatology & Orthopa","1170A2390","",102,"Sydney","57 Missenden                                     Rd","Camperdown                                             2050",0,"Major Cities",24.5,"O3","Other public acute specialised","Yes","Yes","No","Yes","Yes","Activity-based funded hospital","57 Missenden Rd Camperdown 2050",-33.8883819,151.1804445,"57 missenden rd, camperdown nsw 2050, australia"
"NSW","Riverlands Drug and Alcohol Centre","1181H2670","0011590B",111,"Northern NSW","Cnr Uralba & Hunter                           St","Lismore                                                2480",1,"Inner Regional",14,"O2","Drug and alcohol hospital","Yes","Yes","No","No","Yes","Block-funded hospital","Cnr Uralba & Hunter St Lismore 2480",-28.8107343,153.2863329,"lismore shopping square cnr brewster and, uralba st, lismore nsw 2480, australia"
"NSW","Royal For Women","1172C2200","0010070L",101,"South Eastern Sydney","Barker                                        St","Randwick                                               2031",0,"Major Cities",121,"W1","Womens","Yes","Yes","No","Yes","Yes","Activity-based funded hospital","Barker St Randwick 2031",-33.9203789,151.2334502,"barker st, randwick dc nsw 2031, australia"
"NSW","Royal North Shore","1176B2180","0010310L",106,"Northern Sydney","1 Reserve                                       Rd","St Leonards                                            2065",0,"Major Cities",721.3,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Reserve Rd St Leonards 2065",-33.8228227,151.1921928,"1 reserve rd, st leonards nsw 2065, australia"
"NSW","Royal Prince Alfred","1170A2080","0010320k",102,"Sydney","50 Missenden                                     Rd","Camperdown                                             2050",0,"Major Cities",762.3,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","50 Missenden Rd Camperdown 2050",-33.8891377,151.1831083,"50 missenden rd, camperdown nsw 2050, australia"
"NSW","Royal Rehabilitation","1176B2210","0012600J",106,"Northern Sydney","227 Morrison                                      Rd","Ryde                                                   2112",0,"Major Cities",48,"N2","Rehabilitation and GEM","Yes","Yes","No","No","Yes","Activity-based funded hospital","227 Morrison Rd Ryde 2112",-33.8227129,151.1079628,"227 morrison rd, ryde nsw 2112, australia"
"NSW","Ryde","1176B2240","0010390X",106,"Northern Sydney","1 Denistone                                     Rd","Eastwood                                               2122",0,"Major Cities",160.2,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 Denistone Rd Eastwood 2122",-33.7965851,151.0914001,"1 denistone rd, eastwood nsw 2122, australia"
"NSW","Rylstone (MPS)","1185L2210","0012010J",112,"Western NSW","24 Fitzgerald                                    St","Rylstone                                               2849",2,"Outer Regional",26,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","24 Fitzgerald St Rylstone 2849",-32.8044711,149.9755647,"24 fitzgerald st, rylstone nsw 2849, australia"
"NSW","Scott Memorial Scone","1180Q2160","0012050A",109,"Hunter New England","24 Stafford                                      St","Scone                                                  2337",1,"Inner Regional",39.7,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","24 Stafford St Scone 2337",-32.0523844,150.8767239,"24 stafford st, scone nsw 2337, australia"
"NSW","Shellharbour","1173P2110","0010060T",108,"Illawarra Shoalhaven","15 Madigan                                       BVD","Mount Warrigal                                         2528",0,"Major Cities",179.8,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","15 Madigan BVD Mount Warrigal 2528",-34.5579988,150.842478,"15 madigan blvd, mount warrigal nsw 2528, australia"
"NSW","Shoalhaven Memorial","1173P2070","0012060Y",108,"Illawarra Shoalhaven","2 Shoalhaven                                    St","Nowra                                                  2541",1,"Inner Regional",178.3,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","2 Shoalhaven St Nowra 2541",-34.8676786,150.5970455,"2 shoalhaven st, nowra nsw 2541, australia"
"NSW","Singleton","1180Q2170","0012070X",109,"Hunter New England","Lot 20 Dangar                                        Rd","Singleton                                              2330",1,"Inner Regional",45.2,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","Lot 20 Dangar Rd Singleton 2330",-32.5656752,151.1835863,"20 dangar rd, singleton nsw 2330, australia"
"NSW","Springwood","1175D2140","0012730Y",105,"Nepean Blue Mountains","7 Huntley Grange                                Rd","Springwood                                             2777",0,"Major Cities",30.6,"S1","Public acute group C","Yes","Yes","No","Yes","Yes","Activity-based funded hospital","7 Huntley Grange Rd Springwood 2777",-33.6904279,150.5710944,"springwood hospital, 7 huntley grange rd, springwood nsw 2777, australia"
"NSW","St George","1172C2130","0010410J",101,"South Eastern Sydney","28 Gray                                          St","Kogarah                                                2217",0,"Major Cities",610.6,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","28 Gray St Kogarah 2217",-33.9675171,151.13311,"28 gray st, kogarah nsw 2217, australia"
"NSW","St Joseph's Auburn","1169D2130","0010430F",118,"St Vincent's Health Network","19a Alice                                         St","Auburn                                                 2144",0,"Major Cities",71.7,"N1","Mixed subacute and non-acute","Yes","Yes","No","No","Yes","Activity-based funded hospital","19a Alice St Auburn 2144",-33.8495045,151.0287893,"19a alice st, auburn nsw 2144, australia"
"NSW","St Vincent's Darlinghurst","1169A2120","0010460Y",118,"St Vincent's Health Network","390 Victoria                                      St","Darlinghurst                                           2010",0,"Major Cities",423.1,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","390 Victoria St Darlinghurst 2010",-33.879554,151.221635,"390 victoria st, darlinghurst nsw 2010, australia"
"NSW","Sutherland","1172C2140","0010480W",101,"South Eastern Sydney","430 Kingsway","Caringbah                                              2229",0,"Major Cities",314.4,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","430 Kingsway Caringbah 2229",-34.0382636,151.1160627,"430 kingsway, caringbah nsw 2229, australia"
"NSW","Sydney Children's","1163C2380","0010260H",117,"Sydney Children's Hospitals Network","1 High                                          St","Randwick                                               2031",0,"Major Cities",145.8,"W3","Childrens","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","1 High St Randwick 2031",-33.9148798,151.2258624,"1 high st, randwick nsw 2031, australia"
"NSW","Sydney Dental","1172C1530","",101,"South Eastern Sydney","2 Chalmers                                      St","Surry Hills                                            2010",0,"Major Cities",0,"O5","Unpeered","Yes","No","No","No","Yes","Block-funded hospital","2 Chalmers St Surry Hills 2010",-33.884204,151.2079405,"2 chalmers st, surry hills nsw 2010, australia"
"NSW","Sydney/ Sydney Eye","1172A2330","0010500H",101,"South Eastern Sydney","8 Macquarie                                     St","Sydney                                                 2000",0,"Major Cities",60.9,"M","Public acute group B","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","8 Macquarie St Sydney 2000",-33.8684076,151.2128169,"sydney hospital, 8 macquarie st, sydney nsw 2000, australia"
"NSW","Tamworth","1180J2160","0012090T",109,"Hunter New England","31 Dean                                          St","North Tamworth                                         2340",1,"Inner Regional",279.2,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","31 Dean St North Tamworth 2340",-31.0731012,150.9258212,"tamworth base hospital, 31 dean st, north tamworth nsw 2340, australia"
"NSW","Temora","1184R2160","0012100H",114,"Murrumbidgee","119 Gloucester                                    St","Temora                                                 2666",2,"Outer Regional",27.8,"S1","Public acute group C","Yes","Yes","Yes","No","Yes","Block-funded hospital","119 Gloucester St Temora 2666",-34.4434262,147.5425944,"119 gloucester st, temora nsw 2666, australia"
"NSW","The Tweed Hospital","1181H2230","0012690L",111,"Northern NSW","14 Powell                                        St","Tweed Heads                                            2485",0,"Major Cities",242,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","14 Powell St Tweed Heads 2485",-28.1771025,153.5456257,"14 powell st, tweed heads nsw 2485, australia"
"NSW","Thomas Walker","1470A2360","",102,"Sydney","Hospital                                      Rd","Concord Repatriation Hospital                          2139",0,"Major Cities",16.4,"Ps","Psychiatric","Yes","Yes","No","No","No","Block-funded hospital","Hospital Rd Concord Repatriation Hospital 2139",-33.837122,151.094164,"hospital rd, concord nsw 2139, australia"
"NSW","Tibooburra","1186S2030","0012120B",115,"Far West","1 Sturt                                         St","Tibooburra                                             2880",4,"Very remote",0,"OT","Outpatient hospital","Yes","No","Yes","No","Yes","Block-funded hospital","1 Sturt St Tibooburra 2880",-29.435517,142.0114563,"1 sturt st, tibooburra nsw 2880, australia"
"NSW","Tingha (MPS)","1180J2170","0012130A",109,"Hunter New England","1 Inverell                                      Rd","Tingha                                                 2369",2,"Outer Regional",9,"OT","Outpatient hospital","Yes","No","Yes","No","Yes","Block-funded hospital","1 Inverell Rd Tingha 2369",-29.9389655,151.2488616,"tingha nsw 2369, australia"
"NSW","Tocumwal","1184M2140","0012140Y",114,"Murrumbidgee","1 Adams                                         St","Tocumwal                                               2714",1,"Inner Regional",5.4,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Adams St Tocumwal 2714",-35.815215,145.575708,"1 calaway st, tocumwal nsw 2714, australia"
"NSW","Tomaree Community","1180Q2250","0010000F",109,"Hunter New England","2 Trevally                                      St","Nelson Bay                                             2315",1,"Inner Regional",10.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","2 Trevally St Nelson Bay 2315",-32.7202033,152.1590073,"2 trevally st, nelson bay nsw 2315, australia"
"NSW","Tottenham (MPS)","1185L2230","0012150X",112,"Western NSW","Lot 10 Moondana                                      St","Tottenham                                              2873",3,"Remote",10,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","Lot 10 Moondana St Tottenham 2873",-32.242059,147.3498163,"10 moodana st, tottenham nsw 2873, australia"
"NSW","Trangie (MPS)","1185K2190","0012160W",112,"Western NSW","28 Harris                                        St","Trangie                                                2823",2,"Outer Regional",19.9,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","28 Harris St Trangie 2823",-32.0305821,147.9770039,"28 harris st, trangie nsw 2823, australia"
"NSW","Tresillian Care Centres","1170A2340","0010350F",102,"Sydney","571 Canterbury                                    Rd","Campsie                                                2194",0,"Major Cities",70.6,"O1","Early parenting centres","Yes","Yes","No","No","Yes","Block-funded hospital","571 Canterbury Rd Campsie 2194",-33.9198302,151.0998405,"571 canterbury rd, campsie nsw 2194, australia"
"NSW","Trundle (MPS)","1185L2190","0012580X",112,"Western NSW","44 Brookview                                     St","Trundle                                                2875",2,"Outer Regional",11,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","44 Brookview St Trundle 2875",-32.9211816,147.7045296,"44 brookview st, trundle nsw 2875, australia"
"NSW","Tullamore (MPS)","1185L2240","0012170T",112,"Western NSW","1 Hinkler                                       St","Tullamore                                              2874",2,"Outer Regional",15.9,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","1 Hinkler St Tullamore 2874",-32.634702,147.5688284,"1 hinkler st, tullamore nsw 2874, australia"
"NSW","Tumbarumba (MPS)","1184M2150","0012180L",114,"Murrumbidgee","4 Mitchell                                      St","Tumbarumba                                             2653",2,"Outer Regional",42.7,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","4 Mitchell St Tumbarumba 2653",-35.7789709,148.006113,"4 mitchell st, tumbarumba nsw 2653, australia"
"NSW","Tumut","1184R2180","0012190K",114,"Murrumbidgee","105 Simpson                                       St","Tumut                                                  2720",1,"Inner Regional",28.6,"S1","Public acute group C","Yes","Yes","Yes","Yes","Yes","Block-funded hospital","105 Simpson St Tumut 2720",-35.3062879,148.2194412,"105 simpson st, tumut nsw 2720, australia"
"NSW","Urana (MPS)","1184M2130","0011620L",114,"Murrumbidgee","127 Princess                                      St","Urana                                                  2645",2,"Outer Regional",22,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","127 Princess St Urana 2645",-35.3253904,146.2676983,"127 princess st, urana nsw 2645, australia"
"NSW","Urbenville (MPS)","1181H2240","0012230X",111,"Northern NSW","45 Beaury                                        St","Urbenville                                             2475",2,"Outer Regional",22,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","45 Beaury St Urbenville 2475",-28.4715553,152.5432704,"multi purpose services, 45 beaury st, urbenville nsw 2475, australia"
"NSW","Vegetable Creek (MPS)","1180J2180","0012240W",109,"Hunter New England","13 Glen Innes                                    Rd","Emmaville                                              2371",2,"Outer Regional",17,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","13 Glen Innes Rd Emmaville 2371",-29.4501585,151.59882,"13 glen innes rd, emmaville nsw 2371, australia"
"NSW","Wagga Wagga","1184R2190","0012250T",114,"Murrumbidgee","260 Edward                                        St","Wagga Wagga                                            2650",1,"Inner Regional",298.2,"L","Public acute group A","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","260 Edward St Wagga Wagga 2650",-35.1179925,147.3569636,"260 edward st, wagga wagga nsw 2650, australia"
"NSW","Walcha (MPS)","1180J2190","0012270K",109,"Hunter New England","7 South                                         St","Walcha                                                 2354",2,"Outer Regional",24,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","7 South St Walcha 2354",-30.9839412,151.5904809,"7 south st, walcha nsw 2354, australia"
"NSW","Walgett (MPS)","1185K2200","0012280J",112,"Western NSW","141 Fox                                           St","Walgett                                                2832",3,"Remote",14.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","141 Fox St Walgett 2832",-30.0307001,148.1160719,"district hospital, 141 fox st, walgett nsw 2832, australia"
"NSW","Warialda (MPS)","1180J2200","0012300Y",109,"Hunter New England","146 Long                                          St","Warialda                                               2402",2,"Outer Regional",25,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","146 Long St Warialda 2402",-29.5382919,150.5793963,"146 long st, warialda nsw 2402, australia"
"NSW","Warren (MPS)","1185K2210","0012310X",112,"Western NSW","176 Doctor Kater                                  Dr","Warren                                                 2824",2,"Outer Regional",39.5,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","176 Doctor Kater Dr Warren 2824",-31.6940658,147.8356507,"lot 176 dr kater dr, warren nsw 2824, australia"
"NSW","Wauchope","1182H2250","0012320W",110,"Mid North Coast","69 High                                          St","Wauchope                                               2446",1,"Inner Regional",27.9,"S1","Public acute group C","Yes","Yes","No","Yes","Yes","Block-funded hospital","69 High St Wauchope 2446",-31.4575047,152.7280713,"69 high st, wauchope nsw 2446, australia"
"NSW","Waverley War Memorial","1172C2060","0012590W",101,"South Eastern Sydney","125 Birrell                                       St","Waverley                                               2024",0,"Major Cities",35,"N2","Rehabilitation and GEM","Yes","Yes","No","No","Yes","Activity-based funded hospital","125 Birrell St Waverley 2024",-33.8978076,151.2533971,"elizabeth hunter lodge, 125 birrell st, waverley nsw 2024, australia"
"NSW","Wee Waa","1180J2210","0012330T",109,"Hunter New England","60 Alma                                          St","Wee Waa                                                2388",2,"Outer Regional",14.8,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","60 Alma St Wee Waa 2388",-30.2254312,149.4484796,"wee waa hospital, 60 alma st, wee waa nsw 2388, australia"
"NSW","Wellington","1185K2220","0012350K",112,"Western NSW","30 Thornton                                      St","Wellington                                             2820",2,"Outer Regional",17,"S2","Public acute group D","Yes","Yes","Yes","No","Yes","Block-funded hospital","30 Thornton St Wellington 2820",-32.5498403,148.9522294,"30 thornton st, wellington nsw 2820, australia"
"NSW","Wentworth","1186M2160","0012360J",115,"Far West","1 Silver City                                   Hwy","Wentworth                                              2648",2,"Outer Regional",15.7,"VS","Very small","Yes","Yes","No","No","No","Block-funded hospital","1 Silver City Hwy Wentworth 2648",-34.0957456,142.0405396,"1 silver city hwy, dareton nsw 2717, australia"
"NSW","Wentworth Psychiatric Services","1175D2320","",105,"Nepean Blue Mountains","Nepean Hospital","Penrith                                                2750",0,"Major Cities",11,"O5","Unpeered","Yes","No","No","No","No","Block-funded hospital","Nepean Hospital Penrith 2750",-33.7592518,150.7136694,"derby st, kingswood nsw 2747, australia"
"NSW","Werris Creek (MPS)","1180J2220","0012370H",109,"Hunter New England","22 North                                         St","Werris Creek                                           2341",1,"Inner Regional",15.8,"VS","Very small","Yes","Yes","Yes","No","Yes","Block-funded hospital","22 North St Werris Creek 2341",-31.3464856,150.6525186,"22 north st, werris creek nsw 2341, australia"
"NSW","Westmead","1174D2240","0012760T",104,"Western Sydney","166 Darcy                                         Rd","Westmead                                               2145",0,"Major Cities",835.9,"PR","Principal referral","Yes","Yes","Yes","Yes","Yes","Activity-based funded hospital","166 Darcy Rd Westmead 2145",-33.801034,150.9637139,"166 darcy rd, wentworthville nsw 2145, australia"
